CFG;MUT;ERRin;ERRout;OPE
NSGA;2;1;0.0;1.0
NSGA;2;1;0.0;1.0
NSGA;2;1;0.0;1.0
NSGA;4;4;0.0;4.0
NSGA;4;4;0.0;4.0
NSGA;4;4;0.0;4.0
NSGA;4;4;0.0;4.0
NSGA;4;5;0.0;4.0
NSGA;6;10;2.0;4.0
NSGA;6;10;0.0;8.0
NSGA;6;10;0.0;8.0
NSGA;6;10;0.0;7.0
NSGA;6;10;0.0;7.0
NSGA;8;10;2.0;6.0
NSGA;8;10;4.0;4.0
RND;2;1;0.0;1.0
RND;2;1;0.0;1.0
RND;2;1;0.0;1.0
RND;2;1;0.0;2.0
RND;2;1;1.0;1.0
RND;4;4;3.0;1.0
RND;4;4;3.0;1.0
RND;4;4;3.0;1.0
RND;4;4;2.0;3.0
RND;4;4;3.0;1.0
RND;6;10;6.0;1.0
RND;6;10;5.0;11.0
RND;6;10;6.0;6.0
RND;6;10;6.0;9.0
RND;6;10;6.0;2.0
RND;8;10;5.0;9.0
RND;8;10;7.0;3.0
RND;8;10;6.0;9.0
RND;8;10;7.0;3.0
RND;8;10;7.0;5.0
